File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
24-001450,05/17/2024,2024,5,2200 Block,East Amber Lane,05/20/2024,,Voluntarily Complied,05/31/2024,Internet,true,0,"2200 East Amber Lane
Urbana, IL
(40.08813, -88.17979)"
1609058,09/29/2015,2015,9,1400 BLOCK,S Wiley Dr,09/29/2016,Weeds/Grass,City Abated,09/29/2016,Not Available,false,0,"1400 S Wiley Dr
Urbana, IL
(40.10057, -88.19777)"
18-001013,09/17/2018,2018,9,1300 Block,North Berkley Avenue,09/17/2018,Weeds/Grass,Voluntarily Complied,09/25/2018,Phone,false,0,"1300 North Berkley Avenue
Urbana, IL
(40.12494, -88.2065)"
1406001,06/02/2014,2014,6,900 BLOCK,E Washington St,06/02/2014,Weeds/Grass,Owner Abated,06/10/2014,Not Available,false,0,"900 E Washington St
Urbana, IL
(40.10567, -88.1915)"
708039,08/13/2007,2007,8,700 BLOCK,S Cottage Grove Av,08/14/2007,Weeds/Grass,Owner Abated,08/22/2007,Not Available,false,0,"700 S Cottage Grove Av
Urbana, IL
(40.10762, -88.19566)"
21-000968,05/12/2021,2021,5,400 Block,West Springfield Avenue,05/12/2021,Weeds/Grass,Voluntarily Complied,06/01/2021,Phone,false,0,"400 West Springfield Avenue
Urbana, IL
(40.11239, -88.21198)"
1006013,06/02/2010,2010,6,300 BLOCK,W Green St,06/02/2010,Weeds/Grass,Owner Abated,06/10/2010,Not Available,false,0,"300 W Green St
Urbana, IL
(40.11073, -88.21052)"
407048,07/15/2004,2004,7,700 BLOCK,E Illinois St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"700 E Illinois St
Urbana, IL
(40.10936, -88.20007)"
705039,05/07/2007,2007,5,900 BLOCK,S Wabash Av,05/08/2007,Weeds/Grass,Owner Abated,05/16/2007,Not Available,false,0,"900 S Wabash Av
Urbana, IL
(40.10554, -88.19661)"
1709003,09/01/2017,2017,9,500 BLOCK,S Busey Av,09/01/2017,Municipal Waste,Owner Abated,09/09/2017,Not Available,false,0,"500 S Busey Av
Urbana, IL
(40.10898, -88.21771)"
21-001122,05/25/2021,2021,5,800 Block,"South ""Cottage Grove"" Avenue",05/25/2021,Weeds/Grass,City Abated,09/28/2021,Phone,false,255.5,"800 South Cottage Grove Avenue
Urbana, IL
(40.10693, -88.19567)"
606049,06/20/2006,2006,6,600 BLOCK,W Illinois St,,Municipal Waste,Owner Abated,,Not Available,false,0,"600 W Illinois St
Urbana, IL
(40.10915, -88.21469)"
907021,07/13/2009,2009,7,1300 BLOCK,N Lincoln Av,07/14/2009,Weeds/Grass,Owner Abated,07/22/2009,Not Available,false,0,"1300 N Lincoln Av
Urbana, IL
(40.12381, -88.21948)"
1108058,08/25/2011,2011,8,200 BLOCK,E Michigan Av,08/25/2011,Weeds/Grass,Owner Abated,09/02/2011,Not Available,false,0,"200 E Michigan Av
Urbana, IL
(40.10201, -88.20608)"
18-000969,09/07/2018,2018,9,1 Block,Shuman Circle,09/07/2018,Municipal Waste,Voluntarily Complied,09/17/2018,Phone,false,0,"1 Shuman Circle
Urbana, IL
(40.09295, -88.20197)"
1408014,08/07/2014,2014,8,800 BLOCK,Sunset Dr,08/07/2014,Weeds/Grass,City Abated,08/15/2014,Not Available,false,0,"800 Sunset Dr
Urbana, IL
(40.12369, -88.21718)"
1005125,05/27/2010,2010,5,900 BLOCK,W Eads St,05/28/2010,Weeds/Grass,Owner Abated,06/05/2010,Not Available,false,0,"900 W Eads St
Urbana, IL
(40.12321, -88.21965)"
19-002136,10/04/2019,2019,10,1200 Block,South Vine Street,10/04/2019,Municipal Waste,Voluntarily Complied,10/16/2019,Phone,false,0,"1200 South Vine Street
Urbana, IL
(40.10278, -88.20498)"
20-001243,07/08/2020,2020,7,300 Block,East Main Street,07/08/2020,Weeds/Grass,Voluntarily Complied,07/16/2020,Phone,false,0,"300 East Main Street
Urbana, IL
(40.11246, -88.20482)"
24-002850,09/10/2024,2024,9,700 Block,West Green Street,09/10/2024,Weeds/Grass,Voluntarily Complied,09/18/2024,Phone,false,0,"700 West Green Street
Urbana, IL
(40.11064, -88.21617)"
1507024,07/17/2015,2015,7,1300 BLOCK,E Pennsylvania Av,07/17/2015,Weeds/Grass,Owner Abated,07/25/2015,Not Available,false,0,"1300 E Pennsylvania Av
Urbana, IL
(40.09959, -88.1931)"
1111016,11/23/2011,2011,11,500 BLOCK,W Illinois St,11/23/2011,Municipal Waste,Owner Abated,12/01/2011,Not Available,false,0,"500 W Illinois St
Urbana, IL
(40.10917, -88.21332)"
707027,07/12/2007,2007,7,2000 BLOCK,S Cottage Grove Av,07/12/2007,Weeds/Grass,Owner Abated,07/20/2007,Not Available,false,0,"2000 S Cottage Grove Av
Urbana, IL
(40.09377, -88.19485)"
1108056,08/24/2011,2011,8,900 BLOCK,N Harvey Av,08/25/2011,Municipal Waste,Owner Abated,09/02/2011,Not Available,false,0,"900 N Harvey Av
Urbana, IL
(40.12019, -88.222)"
24-001043,04/23/2024,2024,4,2300 Block,"East ""Lantern Hill"" Drive",04/23/2024,Weeds/Grass,City Abated,06/05/2024,Phone,false,657.5,"2300 East Lantern Hill Drive
Urbana, IL
(40.10477, -88.17795)"
24-001932,06/26/2024,2024,6,400 Block,West Green Street,06/26/2024,Weeds/Grass,Voluntarily Complied,07/08/2024,Phone,false,0,"400 West Green Street
Urbana, IL
(40.11071, -88.21196)"
1307004,07/03/2013,2013,7,1300 BLOCK,E Fairlawn Dr,07/03/2013,Municipal Waste,City Abated,07/11/2013,Not Available,false,0,"1300 E Fairlawn Dr
Urbana, IL
(40.10243, -88.19332)"
23-001926,07/05/2023,2023,7,800 Block,North Broadway Avenue,07/05/2023,Weeds/Grass,Voluntarily Complied,07/13/2023,Phone,false,0,"800 North Broadway Avenue
Urbana, IL
(40.11953, -88.2076)"
18-000749,07/10/2018,2018,7,600 Block,E Scovill Street,07/10/2018,Municipal Waste,Voluntarily Complied,07/18/2018,Phone,false,0,"600 E Scovill Street
Urbana, IL
(40.08541, -88.20038)"
301005,01/06/2003,2003,1,1000 BLOCK,N Mathews,,Municipal Waste,Owner Abated,,Not Available,false,0,"1000 N Mathews
Urbana, IL
(40.12138, -88.22573)"
1605034,05/09/2016,2016,5,500 BLOCK,E Michigan Av,05/09/2016,Weeds/Grass,City Abated,05/17/2016,Not Available,false,0,"500 E Michigan Av
Urbana, IL
(40.10188, -88.2018)"
1407037,07/29/2014,2014,7,600 BLOCK,E Washington St,07/26/2014,Weeds/Grass,Owner Abated,08/06/2014,Not Available,false,0,"600 E Washington St
Urbana, IL
(40.10566, -88.20108)"
22-000064,01/18/2022,2022,1,2400 Block,East Main Street,,Municipal Waste,Unfounded,01/18/2022,Email,false,0,"2400 East Main Street
Urbana, IL
(40.11296, -88.17566)"
1505114,05/28/2015,2015,5,800 BLOCK,N Busey Av,05/28/2015,Weeds/Grass,Owner Abated,06/05/2015,Not Available,false,0,"800 N Busey Av
Urbana, IL
(40.11933, -88.21693)"
24-002094,07/09/2024,2024,7,1200 Block,East Oregon Street,07/09/2024,Weeds/Grass,Voluntarily Complied,07/17/2024,Phone,false,0,"1200 East Oregon Street
Urbana, IL
(40.10777, -88.1943)"
18-000643,06/15/2018,2018,6,100 Block,W Washington Street,06/15/2018,Weeds/Grass,Voluntarily Complied,06/25/2018,Phone,false,0,"100 W Washington Street
Urbana, IL
(40.10557, -88.20743)"
711006,11/07/2007,2007,11,2200 BLOCK,E Michigan Av,11/07/2007,Municipal Waste,Owner Abated,11/15/2007,Not Available,false,0,"2200 E Michigan Av
Urbana, IL
(40.1018, -88.17942)"
1005078,05/17/2010,2010,5,900 BLOCK,S Orchard St,05/18/2010,Weeds/Grass,Owner Abated,05/26/2010,Not Available,false,0,"900 S Orchard St
Urbana, IL
(40.10541, -88.2144)"
22-003136,09/30/2022,2022,9,2000 Block,"South ""George Huff"" Drive",09/30/2022,Weeds/Grass,Voluntarily Complied,10/10/2022,Phone,false,0,"2000 South George Huff Drive
Urbana, IL
(40.09365, -88.20265)"
20-001017,06/10/2020,2020,6,1200 Block,North Coler Avenue,06/10/2020,Weeds/Grass,Voluntarily Complied,06/18/2020,Phone,false,0,"1200 North Coler Avenue
Urbana, IL
(40.12291, -88.21577)"
305095,05/22/2003,2003,5,200 BLOCK,S Grove St,,Municipal Waste,Owner Abated,,Not Available,false,0,"200 S Grove St
Urbana, IL
(40.11163, -88.2014)"
20-001592,08/14/2020,2020,8,1100 Block,West Hill Street,08/14/2020,Municipal Waste,Voluntarily Complied,08/24/2020,Phone,false,0,"1100 West Hill Street
Urbana, IL
(40.1192, -88.22193)"
21-000785,04/21/2021,2021,4,1900 Block,North Willow Road,04/21/2021,Municipal Waste,Voluntarily Complied,04/29/2021,Phone,false,0,"1900 North Willow Road
Urbana, IL
(40.1311, -88.20068)"
19-001874,08/30/2019,2019,8,600 Block,West California Avenue,08/30/2019,Municipal Waste,Voluntarily Complied,09/10/2019,Phone,false,0,"600 West California Avenue
Urbana, IL
(40.10832, -88.21466)"
1204046,04/18/2012,2012,4,900 BLOCK,N Lincoln Av,04/19/2012,Weeds/Grass,Owner Abated,04/27/2012,Not Available,false,0,"900 N Lincoln Av
Urbana, IL
(40.12019, -88.21945)"
24-002387,08/02/2024,2024,8,1000 Block,South Wabash Avenue,08/02/2024,Weeds/Grass,Voluntarily Complied,11/18/2024,Phone,false,0,"1000 South Wabash Avenue
Urbana, IL
(40.10447, -88.19659)"
1305071,05/14/2013,2013,5,1300 BLOCK,S Race St,05/14/2013,Weeds/Grass,Owner Abated,05/22/2013,Not Available,false,0,"1300 S Race St
Urbana, IL
(40.10181, -88.20964)"
506015,06/06/2005,2005,6,800 BLOCK,S Cottage Grove,,Municipal Waste,Owner Abated,,Not Available,false,0,"800 S Cottage Grove
Urbana, IL
(40.10693, -88.19567)"
1407026,07/23/2014,2014,7,1300 BLOCK,E Florida Av,,Weeds/Grass,Invalid,,Not Available,false,0,"1300 E Florida Av
Urbana, IL
(40.09838, -88.19332)"
20-000461,03/30/2020,2020,3,900 Block,South Lanore Drive,,Municipal Waste,Unfounded,03/30/2020,Internet,false,0,"900 South Lanore Drive
Urbana, IL
(40.10554, -88.18664)"
1412011,12/15/2014,2014,12,200 BLOCK,S Hartle Av,12/15/2014,Municipal Waste,Owner Abated,12/23/2014,Not Available,false,0,"200 S Hartle Av
Urbana, IL
(40.11115, -88.19218)"
909009,09/04/2009,2009,9,1300 BLOCK,W Beslin St,09/04/2009,Weeds/Grass,Owner Abated,09/12/2009,Not Available,false,0,"1300 W Beslin St
Urbana, IL
(40.12029, -88.2259)"
504031,04/20/2005,2005,4,600 BLOCK,W High St,,Municipal Waste,Invalid,,Not Available,false,0,"600 W High St
Urbana, IL
(40.10985, -88.21471)"
807040,07/28/2008,2008,7,2300 BLOCK,E Main St,07/29/2008,Weeds/Grass,City Abated,08/06/2008,Not Available,false,0,"2300 E Main St
Urbana, IL
(40.11299, -88.17826)"
707008,07/09/2007,2007,7,800 BLOCK,W Oregon St,07/10/2007,Weeds/Grass,City Abated,07/18/2007,Not Available,false,0,"800 W Oregon St
Urbana, IL
(40.10743, -88.21786)"
1110024,10/13/2011,2011,10,1200 BLOCK,E Green St,10/14/2011,Weeds/Grass,Owner Abated,10/22/2011,Not Available,false,0,"1200 E Green St
Urbana, IL
(40.11095, -88.19431)"
1706023,06/22/2017,2017,6,#VALUE!,Windsor and Philo Rd,06/22/2017,Weeds/Grass,City Abated,06/30/2017,Not Available,false,0,
507005,07/06/2005,2005,7,1100 BLOCK,Willard St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1100 Willard St
Urbana, IL
(40.08429, -88.19514)"
1208039,08/14/2012,2012,8,1400 BLOCK,E Florida Av,08/15/2012,Weeds/Grass,Owner Abated,08/23/2012,Not Available,false,0,"1400 E Florida Av
Urbana, IL
(40.0984, -88.1915)"
410034,10/28/2004,2004,10,1000 BLOCK,S Lincoln Ave,,Municipal Waste,Owner Abated,,Not Available,false,0,"1000 S Lincoln Ave
Urbana, IL
(40.1045, -88.21922)"
23-000476,03/02/2023,2023,3,2000 Block,"East ""Country Squire"" Drive",03/02/2023,Municipal Waste,Voluntarily Complied,03/15/2023,Phone,false,0,"2000 East Country Squire Drive
Urbana, IL
(40.10246, -88.18209)"
24-001062,04/24/2024,2024,4,2000 Block,East Washington Street,04/24/2024,Weeds/Grass,Voluntarily Complied,05/02/2024,Phone,false,0,"2000 East Washington Street
Urbana, IL
(40.10569, -88.18324)"
1508036,08/18/2015,2015,8,1200 BLOCK,S Lanore Dr,08/18/2015,Weeds/Grass,Owner Abated,08/26/2015,Not Available,false,0,"1200 S Lanore Dr
Urbana, IL
(40.10157, -88.18653)"
409023,09/07/2004,2004,9,700 BLOCK,W Illinois St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"700 W Illinois St
Urbana, IL
(40.10914, -88.21629)"
21-000915,05/07/2021,2021,5,1300 Block,North Lincoln Avenue,05/07/2021,Weeds/Grass,Voluntarily Complied,09/28/2021,Phone,false,0,"1300 North Lincoln Avenue
Urbana, IL
(40.12381, -88.21948)"
23-001250,05/11/2023,2023,5,600 Block,South Coler Avenue,05/11/2023,Weeds/Grass,Voluntarily Complied,05/19/2023,Phone,false,0,"600 South Coler Avenue
Urbana, IL
(40.10816, -88.21599)"
18-000487,05/14/2018,2018,5,1000 Block,E Florida Avenue,05/14/2018,Weeds/Grass,Voluntarily Complied,05/22/2018,City Staff Reported,false,0,"1000 E Florida Avenue
Urbana, IL
(40.09838, -88.19587)"
307009,07/07/2003,2003,7,1100 BLOCK,E Washigton,,Municipal Waste,Owner Abated,,Not Available,false,0,"1100 E Washigton
Urbana, IL
(40.10569, -88.19548)"
907027,07/15/2009,2009,7,2700 BLOCK,Coddington CR,07/16/2009,Weeds/Grass,Owner Abated,07/24/2009,Not Available,false,0,"2700 Coddington CR
Urbana, IL
(40.11429, -88.17137)"
709050,09/17/2007,2007,9,1200 BLOCK,W Ellis Dr,09/18/2007,Municipal Waste,Owner Abated,09/26/2007,Not Available,false,0,"1200 W Ellis Dr
Urbana, IL
(40.12405, -88.22434)"
505106,05/19/2005,2005,5,800 BLOCK,N Lincoln Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"800 N Lincoln Av
Urbana, IL
(40.11934, -88.21943)"
23-001174,05/09/2023,2023,5,800 Block,East Pennsylvania Avenue,05/09/2023,Weeds/Grass,City Abated,07/10/2023,Phone,false,463,"800 East Pennsylvania Avenue
Urbana, IL
(40.10073, -88.19791)"
